"LTER_site","local_site","logger","date","year","jday","airtemp_max","flag_airtemp_max","airtemp_min","flag_airtemp_min","airtemp_avg","flag_airtemp_avg","rh_max","flag_rh_max","rh_min","flag_rh_min","rh_avg","flag_rh_avg","bp_max","flag_bp_max","bp_min","flag_bp_min","bp_avg","flag_bp_avg","ws_max","flag_ws_max","ws_min","flag_ws_min","ws_avg","flag_ws_avg","wd","flag_wd","solrad_avg","flag_solrad_avg","solrad_tot","flag_solrad_tot","ppt_tot","flag_ppt_tot","snowdepth_avg","flag_snowdepth_avg","soiltemp_5cm_max","flag_soiltemp_5cm_max","soiltemp_5cm_min","flag_soiltemp_5cm_min","soiltemp_5cm_avg","flag_soiltemp_5cm_avg","soilmoist_5cm_avg","flag_soilmoist_5cm_avg","soilmoistprof_10cm_avg","flag_soilmoistprof_10cm_avg","soilmoistprof_20cm_avg","flag_soilmoistprof_20cm_avg","soilmoistprof_30cm_avg","flag_soilmoistprof_30cm_avg","soilmoistprof_50cm_avg","flag_soilmoistprof_50cm_avg","soilmoistprof_70cm_avg","flag_soilmoistprof_70cm_avg","soilmoistprof_100cm_avg","flag_soilmoistprof_100cm_avg","soilmoistprof_150cm_avg","flag_soilmoistprof_150cm_avg","soilmoistprof_200cm_avg","flag_soilmoistprof_200cm_avg","airtemp_hmp1_max","flag_airtemp_hmp1_max","airtemp_hmp1_min","flag_airtemp_hmp1_min","airtemp_hmp1_avg","flag_airtemp_hmp1_avg","airtemp_hmp2_max","flag_airtemp_hmp2_max","airtemp_hmp2_min","flag_airtemp_hmp2_min","airtemp_hmp2_avg","flag_airtemp_hmp2_avg","airtemp_hmp3_max","flag_airtemp_hmp3_max","airtemp_hmp3_min","flag_airtemp_hmp3_min","airtemp_hmp3_avg","flag_airtemp_hmp3_avg","rh_hmp1_max","flag_rh_hmp1_max","rh_hmp1_min","flag_rh_hmp1_min","rh_hmp1_avg","flag_rh_hmp1_avg","rh_hmp2_max","flag_rh_hmp2_max","rh_hmp2_min","flag_rh_hmp2_min","rh_hmp2_avg","flag_rh_hmp2_avg","rh_hmp3_max","flag_rh_hmp3_max","rh_hmp3_min","flag_rh_hmp3_min","rh_hmp3_avg","flag_rh_hmp3_avg","snowdepth_avgofmed","flag_snowdepth_avgofmed"
"NWT","c1","cr23x",2000-07-04,2000,186,23.27,"n",9.95,"n",15.86,"n",47.26,"n",13.82,"n",25.15,"n",715,"n",712,"n",714,"n",9.15,"n",0.02,"n",NaN,"n",0.542,"n",NaN,"n",30.1,"n",0,"n",0.045,"n",23.04,"n",11.49,"n",16.22,"n",0.171,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-05,2000,187,NaN,"n",8.39,"n",15.19,"n",69.85,"n",12.8,"n",41.52,"n",716,"n",714,"n",715,"n",10.68,"n",0.02,"n",NaN,"n",180,"n",NaN,"n",22.57,"n",0,"n",0.142,"n",19.4,"n",12.44,"n",15.74,"n",0.164,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-06,2000,188,27.14,"n",13.15,"n",19.35,"n",52.92,"n",14.19,"n",32.45,"n",716,"n",715,"n",715,"n",6.997,"n",0,"n",1.597,"n",292.4,"n",NaN,"n",11.82,"n",0,"n",0.047,"n",NaN,"n",16.23,"n",20.23,"n",0.149,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-07,2000,189,NaN,"n",11.43,"n",17.31,"n",73.2,"n",19.51,"n",36.62,"n",717,"n",715,"n",716,"n",7.57,"n",0.02,"n",1.508,"n",278.5,"n",NaN,"n",20.59,"n",0.01,"n",0.045,"n",21.48,"n",14.1,"n",17.39,"n",0.152,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-08,2000,190,22.87,"n",8.09,"n",15.82,"n",69.06,"n",26.06,"n",46.5,"n",717,"n",715,"n",716,"n",10.82,"n",0,"n",2.383,"n",292.1,"n",NaN,"n",21.2,"n",0.01,"n",0.047,"n",22.11,"n",13.88,"n",17.52,"n",0.148,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-09,2000,191,23.47,"n",8.72,"n",14.7,"n",98.2,"n",27.58,"n",60.68,"n",718,"n",715,"n",716,"n",9.53,"n",0.02,"n",2.064,"n",272.9,"n",NaN,"n",32.63,"n",0.66,"n",0.053,"n",26.19,"n",13.96,"n",18.88,"n",0.146,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-10,2000,192,23.2,"n",6.737,"n",14.41,"n",100,"n",30.03,"n",65.17,"n",717,"n",715,"n",716,"n",6.507,"n",0.02,"n",1.395,"n",265.8,"n",NaN,"n",30.85,"n",0.01,"n",0.053,"n",24.98,"n",13.62,"n",18.29,"n",0.156,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-11,2000,193,24.96,"n",5.116,"n",14.7,"n",90.2,"n",22.62,"n",55.59,"n",720,"n",716,"n",718,"n",7.51,"n",0.02,"n",1.388,"n",279.6,"n",NaN,"n",29.49,"n",0,"n",0.046,"n",25.56,"n",13.07,"n",18.18,"n",0.15,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-12,2000,194,21.65,"n",9.15,"n",15.68,"n",78,"n",31.55,"n",55.13,"n",722,"n",719,"n",721,"n",7.08,"n",0,"n",1.444,"n",277.9,"n",NaN,"n",9.71,"n",0,"n",0.039,"n",18.17,"n",14.85,"n",17.1,"n",0.135,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-13,2000,195,22.61,"n",5.481,"n",14.15,"n",97.7,"n",29.07,"n",62.37,"n",722,"n",720,"n",721,"n",8.45,"n",0.02,"n",1.3,"n",261.2,"n",NaN,"n",19.45,"n",0.24,"n",0.056,"n",18.12,"n",12.38,"n",14.96,"n",0.142,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-14,2000,196,25.89,"n",5.249,"n",15.22,"n",NaN,"n",26.19,"n",58.59,"n",721,"n",718,"n",720,"n",6.037,"n",0.02,"n",1.084,"n",220.8,"n",NaN,"n",21.24,"n",0.02,"n",0.054,"n",20.78,"n",11.52,"n",15.83,"n",0.14,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-15,2000,197,27.07,"n",7.99,"n",15.84,"n",76.1,"n",18.39,"n",48.24,"n",719,"n",717,"n",718,"n",9.9,"n",0.02,"n",1.692,"n",296.4,"n",NaN,"n",17.9,"n",0,"n",0.046,"n",21.26,"n",12.8,"n",16.37,"n",0.136,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-16,2000,198,18.98,"n",9.12,"n",12.57,"n",99.7,"n",49.45,"n",77.5,"n",719,"n",716,"n",717,"n",5.312,"n",0.02,"n",0.766,"n",113.4,"n",NaN,"n",11.41,"n",0.76,"n",0.045,"n",17.21,"n",13.59,"n",15.18,"n",0.135,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-17,2000,199,18.11,"n",5.413,"n",10.89,"n",NaN,"n",52.75,"n",87.6,"n",721,"n",717,"n",718,"n",13.66,"n",0.02,"n",1.401,"n",282.4,"n",NaN,"n",18.51,"n",0.59,"n",0.044,"n",15.97,"n",11.47,"n",13.68,"n",0.153,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-18,2000,200,23.67,"n",4.621,"n",14.37,"n",97.9,"n",18.75,"n",53.42,"n",720,"n",717,"n",719,"n",9.51,"n",0.02,"n",2.132,"n",286.6,"n",NaN,"n",31.98,"n",0,"n",0.045,"n",23.28,"n",9.79,"n",15.19,"n",0.151,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-19,2000,201,25.09,"n",2.799,"n",13.4,"n",92.7,"n",13.2,"n",52.51,"n",721,"n",719,"n",720,"n",9.13,"n",0.02,"n",1.379,"n",273.4,"n",NaN,"n",29.31,"n",0,"n",0.046,"n",24.7,"n",10.78,"n",16.45,"n",0.145,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-20,2000,202,NaN,"n",4.224,"n",13.45,"n",97.7,"n",16.01,"n",61.55,"n",719,"n",717,"n",718,"n",NaN,"n",0.02,"n",1.167,"n",295.6,"n",NaN,"n",26.54,"n",0,"n",0.054,"n",22.79,"n",12.01,"n",16.68,"n",0.14,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-21,2000,203,23.24,"n",3.364,"n",13.87,"n",95.2,"n",15.08,"n",50.44,"n",720,"n",717,"n",717,"n",10.78,"n",0.02,"n",1.641,"n",308.2,"n",NaN,"n",22.62,"n",0,"n",0.052,"n",23.48,"n",12.36,"n",16.7,"n",0.136,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
"NWT","c1","cr23x",2000-07-22,2000,204,22.48,"n",4.223,"n",12.61,"n",97.5,"n",35.32,"n",68.03,"n",721,"n",719,"n",720,"n",6.272,"n",0.02,"n",1.266,"n",175.3,"n",NaN,"n",25.63,"n",0,"n",0.049,"n",23.62,"n",12.24,"n",16.95,"n",0.133,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,"NaN",NaN,NaN
