"Date","Pl","Tag","Q","Spr","Dne","Tt","Spread","Done","Note","Old_Note"
"06-14",48,1184,"",6,0,"",,,,""
"06-14",48,1189,"",0,0,"",,,,"yv"
"06-14",48,1229,"x",11,0,"",,,,"racemecountmissing"
"06-14",48,1231,"",0,5,"",,,,""
"06-14",49,1104,"",1,2,"wh-done",,,,""
"06-14",49,1121,"",10,4,"wh-done",,,,""
"06-14",49,1161,"",5,1,"",,,,""
"06-14",49,1171,"",4,0,"wh4",,,,"newtt"
"06-14",49,1215,"",1,0,"wh1",,,,"newtt"
"06-14",49,1221,"",1,0,"",,,,""
"06-14",49,1228,"",13,4,"",,,,""
"06-14",49,1232,"",5,0,"",,,,""
"06-14",49,1234,"",1,0,"",,,,""
"06-14",49,1236,"",0,1,"",,,,"1aborted"
"06-14",49,1241,"",12,0,"wh-op",,,,"Bomb"
"06-08",49,1243,"",2,0,"",,,,""
"06-14",49,1245,"",3,0,"",,,,""
"06-14",50,1028,"x",5,1,"",,,,"babortedordone?Fl2(counted?)"
"06-14",50,1155,"",0,0,"",,,,"yv"
"06-14",50,1167,"",3,0,"",,,,""
"06-14",50,1169,"",0,0,"",,,,"yv"
"06-08",50,1186,"",0,0,"",,,,"1yv"
"06-14",50,1187,"",1,0,"",,,,""
"06-14",50,1225,"",2,0,"wh2",,,,"newtt"
"06-14",51,1226,"",8,0,"wh-op",,,,""
"06-14",51,1230,"",0,0,"",,,,"yv"
"06-14",51,1237,"",5,1,"",,,,"1dud"
"06-14",62,1214,"",0,0,"",,,,"yv"
"06-14",62,1216,"",0,0,"",,,,"2yv"
"06-14",62,1222,"",0,0,"",,,,"1yv"
"06-14",62,1244,"",0,0,"",,,,"1yv;2rac.Snapped"
"06-14",68,1175,"",0,0,"",,,,"yv"
