"Date","Plot","Tag","N_infl","Fl_open","Fl_done","Q","Page","Notes","RecordID"
2022-06-16,164,2003,1,3,0,NA,"5","",30029
2022-06-16,164,2020,3,6,0,NA,"5","",30030
2022-06-16,164,2031,2,12,0,NA,"5","",30031
2022-06-16,164,2036,1,3,0,NA,"5","obs pol (black bee)",30032
2022-06-16,164,2039,1,2,0,NA,"5","",30033
2022-06-16,164,2045,1,3,0,NA,"5","",30034
2022-06-16,164,2046,NA,NA,NA,NA,"5","can't find",30035
2022-06-16,164,2048,1,3,0,NA,"5","",30036
2022-06-16,164,2050,1,1,0,NA,"5","",30037
2022-06-16,169,2004,1,0,5,NA,"5","",30038
2022-06-16,169,2006,3,8,2,NA,"5","",30039
2022-06-16,169,2014,3,12,2,NA,"6","",30040
2022-06-16,169,2021,2,6,2,NA,"6","",30041
2022-06-16,169,2022,1,1,0,NA,"6","",30042
2022-06-16,169,2023,NA,NA,NA,NA,"6","can't find",30043
2022-06-16,169,2034,1,2,0,NA,"6","ant",30044
2022-06-16,170,2002,2,3,0,NA,"6","2yv",30045
2022-06-16,170,2005,1,5,0,NA,"6","",30046
2022-06-16,170,2008,1,2,0,NA,"6","",30047
2022-06-16,170,2011,0,0,0,NA,"6","3yv",30048
2022-06-16,170,2012,1,3,1,NA,"6","",30049
2022-06-16,170,2013,0,0,0,TRUE,"6","",30050
2022-06-16,170,2017,2,7,2,NA,"6","",30051
2022-06-16,170,2032,2,4,1,NA,"6","",30052
2022-06-16,170,2037,1,1,0,NA,"6","",30053
2022-06-16,170,2040,3,4,2,TRUE,"6","",30054
2022-06-16,170,2042,0,0,0,NA,"6","",30055
2022-06-16,170,2044,1,6,0,NA,"6","",30056
2022-06-16,164,2081,0,0,0,NA,"4","yv",30813
2022-06-16,164,2071,1,1,0,NA,"4","",30814
2022-06-16,164,2083,0,0,0,NA,"4","yv",30815
2022-06-16,152,2070,0,0,0,NA,"4","yv",30816
2022-06-16,152,2072,0,0,0,NA,"4","yv",30817
2022-06-16,152,2073,0,0,0,NA,"4","2yv; [was originally recorded as plot 149; corrected 6/20]",30818
2022-06-16,152,2063,0,0,0,NA,"4","2yv; [was originally recorded as plot 149; corrected 6/20]",30819
2022-06-16,149,2068,7,2,0,NA,"4","",30820
2022-06-16,149,2069,2,1,0,NA,"4","2yv",30821
2022-06-16,149,2093,0,0,0,NA,"4","yv",30822
2022-06-16,149,2010,1,1,0,NA,"4","",30823
2022-06-16,149,2056,0,0,0,NA,"4","yv",30824
2022-06-16,154,2090,0,0,0,NA,"4","yv",30825
2022-06-16,163,2098,0,0,0,NA,"4","2yv",30826
2022-06-16,163,2075,0,0,0,NA,"4","2yv",30827
2022-06-16,163,2084,0,0,0,NA,"4","2yv",30828
2022-06-16,163,2082,0,0,0,NA,"4","2yv",30829
2022-06-16,163,2076,0,0,0,NA,"4","yv",30830
2022-06-16,169,2203,1,1,1,TRUE,"4","[dupe tag changed 2046->2203 jan 2023]",30832
2022-06-16,169,2067,3,1,0,NA,"4","",30833
2022-06-16,169,2080,0,0,0,NA,"4","yv",30834
2022-06-16,169,2086,0,0,0,NA,"4","yv",30835
2022-06-16,170,2085,0,0,0,NA,"4","yv",30836
2022-06-16,170,2077,0,0,0,NA,"4","yv",30837
2022-06-16,170,2057,0,0,0,NA,"4","yv",30838
2022-06-16,170,2052,0,0,0,NA,"4","yv",30839
2022-06-16,170,2066,0,0,0,NA,"4","yv",30840
2022-06-16,170,2202,2,8,1,TRUE,"4","[dupe tag changed 2035->2202 jan 2023]",30841
2022-06-16,104,2055,0,0,0,NA,"4","yv",30842
2022-06-16,104,2062,0,0,0,NA,"4","yv",30843
2022-06-16,104,2060,0,0,0,NA,"4","yv",30844
2022-06-20,163,2038,1,3,0,NA,"9;9",";cf; is 2038?; 2038/2088 records merged SN Jan 2023",30088
2022-06-20,104,2019,1,0,4,NA,"8","",30057
2022-06-20,104,2026,1,1,2,NA,"8","",30058
2022-06-20,104,2049,1,0,2,NA,"8","",30059
2022-06-20,104,2055,1,1,0,NA,"8","",30060
2022-06-20,104,2060,1,1,1,NA,"8","",30061
2022-06-20,104,2062,1,2,0,NA,"8","",30062
2022-06-20,111,2028,1,3,0,NA,"8","",30063
2022-06-20,118,2007,1,0,3,NA,"8","",30064
2022-06-20,118,2016,3,5,7,NA,"8","",30065
2022-06-20,118,2024,5,11,11,NA,"8","",30066
2022-06-20,118,2025,1,2,2,NA,"8","",30067
2022-06-20,118,2029,1,3,2,NA,"8","",30068
2022-06-20,118,2041,2,8,0,NA,"8","",30069
2022-06-20,127,2001,2,8,0,NA,"8","",30070
2022-06-20,127,2027,2,8,0,NA,"8","yv",30071
2022-06-20,149,2010,1,0,4,NA,"8","",30072
2022-06-20,149,2056,0,0,0,NA,"8","yv",30073
2022-06-20,152,2063,0,0,0,NA,"8","2yv",30074
2022-06-20,149,2068,2,6,4,NA,"8","",30075
2022-06-20,149,2069,3,10,0,NA,"8","yv",30076
2022-06-20,152,2073,2,3,0,NA,"8","",30077
2022-06-20,149,2093,1,1,0,NA,"8","",30078
2022-06-20,152,2018,1,8,0,NA,"8","ants",30079
2022-06-20,152,2030,1,1,0,NA,"8","",30080
2022-06-20,152,2033,1,6,0,NA,"8","",30081
2022-06-20,152,2070,1,1,0,NA,"8","yv",30082
2022-06-20,152,2072,1,3,0,NA,"8","",30083
2022-06-20,154,2043,1,3,0,NA,"8","larva on fl; yv",30084
2022-06-20,154,2047,1,4,0,NA,"8","",30085
2022-06-20,154,2090,1,1,0,NA,"8","",30086
2022-06-20,163,2035,1,4,0,NA,"9","",30087
2022-06-20,163,2075,2,5,0,NA,"9","",30089
2022-06-20,163,2076,1,3,0,NA,"9","",30090
2022-06-20,163,2082,1,3,0,NA,"9","",30091
2022-06-20,163,2084,1,1,0,NA,"9","yv",30092
2022-06-20,163,2098,2,3,0,NA,"9","",30094
2022-06-20,164,2003,1,6,1,NA,"9","",30095
2022-06-20,164,2020,2,10,2,NA,"9","",30096
2022-06-20,164,2031,3,13,6,NA,"9","",30097
2022-06-20,164,2036,2,3,1,NA,"9","",30098
2022-06-20,164,2039,1,8,0,NA,"9","",30099
2022-06-20,164,2045,2,13,0,NA,"9","",30100
2022-06-20,164,2046,NA,NA,NA,NA,"9","can't find",30101
2022-06-20,164,2048,1,9,0,NA,"9","",30102
2022-06-20,164,2050,1,7,0,NA,"9","",30103
2022-06-20,164,2071,1,3,1,NA,"9","yv",30104
2022-06-20,164,2081,1,3,0,NA,"9","",30105
2022-06-20,164,2083,2,13,0,NA,"9","yv",30106
2022-06-20,169,2004,1,0,5,NA,"9","",30107
2022-06-20,169,2006,3,2,8,NA,"9","",30108
2022-06-20,169,2014,2,9,5,NA,"9","",30109
2022-06-20,169,2021,2,0,8,NA,"9","",30110
2022-06-20,169,2022,1,9,0,NA,"9","",30111
2022-06-20,169,2023,3,3,4,NA,"9","",30112
2022-06-20,169,2034,1,6,0,NA,"9","",30113
2022-06-20,169,2067,1,3,0,NA,"9","",30114
2022-06-20,169,2080,1,3,1,NA,"9","yv",30115
2022-06-20,169,2086,3,9,0,NA,"9","",30116
2022-06-20,170,2002,1,2,5,NA,"9","",30117
2022-06-20,170,2005,1,1,2,NA,"10","",30118
2022-06-20,170,2008,1,3,0,NA,"10","",30119
2022-06-20,170,2011,1,1,5,NA,"10","",30120
2022-06-20,170,2012,2,4,0,NA,"10","",30121
2022-06-20,170,2013,2,3,8,NA,"10","",30122
2022-06-20,170,2017,2,4,6,NA,"10","",30123
2022-06-20,170,2032,1,3,0,NA,"10","",30124
2022-06-20,170,2037,3,5,4,NA,"10","",30125
2022-06-20,170,2040,1,6,0,NA,"10","",30126
2022-06-20,170,2042,1,6,3,NA,"10","",30127
2022-06-20,170,2044,0,0,0,NA,"10","yv",30128
2022-06-20,170,2052,1,1,0,NA,"10","",30129
2022-06-20,170,2057,1,1,0,NA,"10","",30130
2022-06-20,170,2066,0,0,0,NA,"10","yv",30131
2022-06-20,170,2077,1,4,0,NA,"10","",30132
2022-06-20,170,2085,1,1,0,NA,"10","yv",30133
2022-06-20,104,2091,0,0,0,NA,"7","yv",30845
2022-06-20,104,2089,0,0,0,NA,"7","yv",30846
2022-06-20,123,2097,0,0,0,NA,"7","yv; ant",30847
2022-06-20,138,2053,0,0,0,NA,"7","yv",30848
2022-06-20,152,2051,0,0,0,NA,"7","3yv",30849
2022-06-20,152,2065,0,0,0,NA,"7","2yv",30850
2022-06-20,152,2100,0,0,0,NA,"7","yv",30851
2022-06-20,152,2095,0,0,0,NA,"7","yv",30852
2022-06-20,147,2099,0,0,0,NA,"7","yv",30853
2022-06-20,149,2094,0,0,0,NA,"7","yv",30854
2022-06-20,149,2059,0,0,0,NA,"7","yv",30855
2022-06-20,149,2061,0,0,0,NA,"7","yv",30856
2022-06-20,154,2074,0,0,0,NA,"7","old tag; yv",30857
2022-06-20,170,2202,2,2,6,NA,"7","[dupe tag changed 2035->2202 jan 2023]",30858
2022-06-20,170,2092,1,2,0,NA,"7","",30859
2022-06-20,170,2079,0,0,0,NA,"7","yv",30860
2022-06-20,169,2203,7,9,10,NA,"7","[dupe tag changed 2046->2203 jan 2023]",30861
2022-06-20,169,2078,1,3,4,TRUE,"7","prev missed; do not include in analysis",30862
2022-06-20,168,2088,0,0,0,NA,"7","yv; old tag",30863
2022-06-20,164,2054,1,2,0,NA,"7","yv",30864
2022-06-20,164,2015,0,0,0,NA,"7","3yv",30865
2022-06-20,164,2058,0,0,0,NA,"7","yv",30866
2022-06-20,163,2064,1,3,0,NA,"7","old tag",30867
2022-06-20,163,2009,0,0,0,NA,"7","yv",30868
2022-06-20,163,2087,0,0,0,NA,"7","yv",30869
2022-06-20,163,2106,0,0,0,NA,"7","yv; untagged SE corner",30870
2022-06-20,166,2120,0,0,0,NA,"7","yv; untagged in center",30871
2022-06-23,163,2038,1,3,3,NA,"10;10",";; 2038/2088 records merged SN Jan 2023",30179
2022-06-23,104,2019,1,0,4,NA,"9","",30134
2022-06-23,104,2026,2,0,3,TRUE,"9","prev should be 212",30135
2022-06-23,104,2049,1,0,2,NA,"9","",30136
2022-06-23,104,2055,1,1,0,NA,"9","",30137
2022-06-23,104,2060,1,0,2,NA,"9","",30138
2022-06-23,104,2062,1,4,0,NA,"9","",30139
2022-06-23,104,2089,0,0,0,NA,"9","yv",30140
2022-06-23,104,2091,1,2,0,NA,"9","florivory",30141
2022-06-23,111,2028,1,0,3,NA,"9","",30142
2022-06-23,118,2007,1,0,2,NA,"9","",30143
2022-06-23,118,2016,3,0,12,NA,"9","",30144
2022-06-23,118,2024,6,4,19,NA,"9","",30145
2022-06-23,118,2025,2,0,5,NA,"9","",30146
2022-06-23,118,2029,1,1,5,NA,"9","",30147
2022-06-23,118,2041,2,4,7,NA,"9","",30148
2022-06-23,123,2097,1,4,0,NA,"9","",30149
2022-06-23,127,2001,3,15,1,NA,"9","",30150
2022-06-23,127,2027,2,10,8,NA,"9","",30151
2022-06-23,138,2053,0,0,0,NA,"9","yv",30152
2022-06-23,147,2099,0,0,0,NA,"9","yv",30153
2022-06-23,149,2010,1,0,4,NA,"9","",30154
2022-06-23,149,2056,1,6,0,NA,"9","",30155
2022-06-23,149,2059,1,1,0,NA,"9","",30156
2022-06-23,149,2061,0,0,0,NA,"9","yv",30157
2022-06-23,149,2068,2,0,11,NA,"9","",30158
2022-06-23,149,2069,4,10,5,NA,"9","yv; two flowers grazed",30159
2022-06-23,149,2093,1,1,2,NA,"9","",30160
2022-06-23,149,2094,1,2,0,NA,"9","",30161
2022-06-23,152,2018,1,4,4,NA,"9","",30162
2022-06-23,152,2030,1,0,1,NA,"9","",30163
2022-06-23,152,2033,1,2,4,NA,"10","",30164
2022-06-23,152,2051,2,4,0,NA,"10","",30165
2022-06-23,152,2063,2,8,1,NA,"10","accidentally knocked one off",30166
2022-06-23,152,2065,1,3,0,NA,"10","yv",30167
2022-06-23,152,2070,1,1,0,NA,"10","",30168
2022-06-23,152,2072,2,10,2,NA,"10","",30169
2022-06-23,152,2073,2,3,1,NA,"10","",30170
2022-06-23,152,2095,1,1,0,NA,"10","",30171
2022-06-23,152,2100,0,0,0,NA,"10","yv",30172
2022-06-23,154,2043,2,8,2,NA,"10","",30173
2022-06-23,154,2047,1,7,0,NA,"10","",30174
2022-06-23,154,2074,1,2,0,NA,"10","",30175
2022-06-23,154,2090,1,3,2,NA,"10","[revised 6/27]",30176
2022-06-23,163,2009,1,1,0,NA,"10","florivorized",30177
2022-06-23,163,2035,1,2,3,NA,"10","",30178
2022-06-23,163,2064,1,1,4,NA,"10","ant",30180
2022-06-23,163,2075,2,2,9,NA,"10","",30181
2022-06-23,163,2076,1,2,2,NA,"10","2yv",30182
2022-06-23,163,2082,2,5,0,NA,"10","yv",30183
2022-06-23,163,2084,2,7,0,NA,"10","",30184
2022-06-23,163,2087,1,3,0,NA,"10","",30185
2022-06-23,163,2098,3,6,1,NA,"10","",30187
2022-06-23,163,2106,1,3,0,NA,"10","",30188
2022-06-23,164,2003,1,4,6,NA,"10","",30189
2022-06-23,164,2015,2,2,0,NA,"10","yv",30190
2022-06-23,164,2020,3,10,12,NA,"10","",30191
2022-06-23,164,2031,3,9,19,NA,"10","",30192
2022-06-23,164,2036,2,1,3,NA,"10","",30193
2022-06-23,164,2039,1,2,7,NA,"10","",30194
2022-06-23,164,2045,2,10,8,NA,"11","knocked one open off",30195
2022-06-23,164,2048,1,10,0,NA,"11","",30196
2022-06-23,164,2050,1,2,5,NA,"11","",30197
2022-06-23,164,2054,3,11,0,NA,"11","",30198
2022-06-23,164,2058,1,3,0,NA,"11","",30199
2022-06-23,164,2071,2,2,4,NA,"11","",30200
2022-06-23,164,2081,1,1,4,NA,"11","",30201
2022-06-23,164,2083,3,12,9,NA,"11","",30202
2022-06-23,169,2004,NA,NA,NA,NA,"11","done",30203
2022-06-23,169,2006,2,0,7,NA,"11","",30204
2022-06-23,169,2014,3,13,18,NA,"11","",30205
2022-06-23,169,2021,2,0,8,NA,"11","",30206
2022-06-23,169,2022,1,1,8,NA,"11","",30207
2022-06-23,169,2023,1,0,6,NA,"11","",30208
2022-06-23,169,2034,1,1,6,NA,"11","",30209
2022-06-23,169,2203,7,0,22,NA,"11","[dupe tag changed 2046->2203 jan 2023]",30210
2022-06-23,169,2067,1,0,3,NA,"11","",30211
2022-06-23,169,2078,1,1,9,NA,"11","",30212
2022-06-23,169,2080,1,0,4,NA,"11","",30213
2022-06-23,169,2086,1,7,0,TRUE,"11","",30214
2022-06-23,170,2002,3,5,6,TRUE,"11","check 6/20 data entry for this plot",30215
2022-06-23,170,2005,1,0,7,NA,"11","",30216
2022-06-23,170,2008,1,2,3,NA,"11","florivory",30217
2022-06-23,170,2011,1,2,3,TRUE,"11","",30218
2022-06-23,170,2012,1,0,7,TRUE,"11","no second infl; possibly 2013 record on 6/20; check 6/20 data entry for this plot",30219
2022-06-23,170,2013,3,10,2,TRUE,"11","possibly 2012 record on 6/20; check 6/20 data entry for this plot",30220
2022-06-23,170,2017,2,0,12,NA,"11","",30221
2022-06-23,170,2032,3,0,14,NA,"11","no second infl; possibly 2037 record on 6/20; check 6/20 data entry for this plot",30222
2022-06-23,170,2037,1,1,3,NA,"11","possibly 2032 record on 6/20; check 6/20 data entry for this plot",30223
2022-06-23,170,2040,1,3,6,NA,"11","one fl possibly lost",30224
2022-06-23,170,2042,1,0,8,TRUE,"11","check 6/20 data entry for this plot",30225
2022-06-23,170,2044,1,1,7,NA,"12","",30226
2022-06-23,170,2052,2,1,3,NA,"12","",30227
2022-06-23,170,2057,1,1,0,NA,"12","",30228
2022-06-23,170,2066,1,4,0,NA,"12","",30229
2022-06-23,170,2077,1,2,4,NA,"12","",30230
2022-06-23,170,2079,1,2,0,NA,"12","",30231
2022-06-23,170,2085,2,3,0,NA,"12","yv",30232
2022-06-23,170,2092,1,1,1,NA,"12","",30233
2022-06-23,107,2118,1,3,0,NA,"8","",30872
2022-06-23,170,2096,2,0,9,TRUE,"8","old tag",30873
2022-06-23,170,2105,0,0,0,NA,"8","yv",30874
2022-06-23,169,2124,1,7,0,TRUE,"8","possibly prev missed",30875
2022-06-23,153,2115,0,0,0,NA,"8","yv",30876
2022-06-23,152,2108,1,1,0,NA,"8","",30877
2022-06-23,152,2119,0,0,0,NA,"8","yv",30878
2022-06-23,163,2117,0,0,0,NA,"8","yv",30879
2022-06-23,163,2103,1,1,0,NA,"8","",30880
2022-06-23,163,2125,0,0,0,NA,"8","yv",30881
2022-06-23,163,2122,0,0,0,NA,"8","2yv",30882
2022-06-23,166,2120,0,0,0,NA,"8","yv",30883
2022-06-23,166,2144,0,0,0,NA,"8","yv",30884
2022-06-23,164,2116,1,1,0,NA,"8","",30885
2022-06-23,168,2088,1,0,0,NA,"8","old tag",30886
2022-06-23,154,2102,0,0,0,NA,"8","yv",30887
2022-06-27,163,2038,1,4,3,NA,"14","; 2038/2088 records merged SN Jan 2023",30277
2022-06-27,104,2026,2,0,3,NA,"13","",30234
2022-06-27,104,2055,1,0,1,NA,"13","",30235
2022-06-27,104,2060,1,0,2,NA,"13","",30236
2022-06-27,104,2062,1,0,4,NA,"13","",30237
2022-06-27,104,2089,1,2,0,NA,"13","",30238
2022-06-27,104,2091,1,1,0,NA,"13","",30239
2022-06-27,107,2118,1,5,0,NA,"13","",30240
2022-06-27,111,2028,1,0,3,NA,"13","",30241
2022-06-27,118,2029,1,0,6,NA,"13","",30242
2022-06-27,118,2041,2,3,8,NA,"13","",30243
2022-06-27,123,2097,1,4,0,NA,"13","",30244
2022-06-27,127,2001,3,14,6,NA,"13","",30245
2022-06-27,127,2027,2,7,11,NA,"13","",30246
2022-06-27,138,2053,1,1,0,NA,"13","",30247
2022-06-27,147,2099,1,3,0,NA,"13","",30248
2022-06-27,149,2056,1,2,4,NA,"13","yv; florivory (anthers eaten)",30249
2022-06-27,149,2059,1,2,2,NA,"13","",30250
2022-06-27,149,2061,1,1,0,NA,"13","",30251
2022-06-27,149,2068,2,0,9,NA,"13","",30252
2022-06-27,149,2069,4,7,8,NA,"13","florivory",30253
2022-06-27,149,2093,1,1,2,NA,"13","",30254
2022-06-27,149,2094,1,3,1,NA,"13","",30255
2022-06-27,152,2018,1,0,8,NA,"13","",30256
2022-06-27,152,2030,1,0,1,NA,"13","stem kinked",30257
2022-06-27,152,2033,1,1,6,NA,"13","",30258
2022-06-27,152,2051,2,8,0,NA,"13","",30259
2022-06-27,152,2063,2,5,3,NA,"13","",30260
2022-06-27,152,2065,2,9,1,NA,"14","",30261
2022-06-27,152,2070,2,6,2,NA,"14","",30262
2022-06-27,152,2072,2,0,6,NA,"14","",30263
2022-06-27,152,2073,2,1,3,NA,"14","",30264
2022-06-27,152,2095,1,3,0,NA,"14","",30265
2022-06-27,152,2100,1,1,0,NA,"14","",30266
2022-06-27,152,2108,1,1,0,NA,"14","",30267
2022-06-27,152,2119,1,3,0,NA,"14","",30268
2022-06-27,153,2115,0,0,0,NA,"14","yv",30269
2022-06-27,154,2043,2,8,4,NA,"14","",30270
2022-06-27,154,2047,1,5,4,NA,"14","",30271
2022-06-27,154,2074,1,3,0,NA,"14","",30272
2022-06-27,154,2090,1,4,2,TRUE,"14","prev was mistake? 132? Fix",30273
2022-06-27,154,2102,1,1,0,NA,"14","florivorized",30274
2022-06-27,163,2009,1,4,0,NA,"14","",30275
2022-06-27,163,2035,1,2,4,NA,"14","yv",30276
2022-06-27,163,2064,1,2,5,NA,"14","",30278
2022-06-27,163,2075,2,3,4,NA,"14","black spider",30279
2022-06-27,163,2076,2,5,2,NA,"14","yv",30280
2022-06-27,163,2082,2,4,2,NA,"14","",30281
2022-06-27,163,2084,2,8,1,NA,"14","",30282
2022-06-27,163,2087,1,3,1,NA,"14","florivorized",30283
2022-06-27,163,2098,3,7,1,NA,"14","",30284
2022-06-27,163,2103,1,1,0,NA,"14","",30285
2022-06-27,163,2106,1,6,0,NA,"14","",30286
2022-06-27,163,2117,1,1,0,NA,"14","",30287
2022-06-27,163,2122,1,1,0,NA,"14","yv",30288
2022-06-27,163,2125,1,2,0,NA,"14","",30289
2022-06-27,164,2003,1,6,5,NA,"14","",30290
2022-06-27,164,2015,3,12,0,NA,"15","",30291
2022-06-27,164,2020,3,8,14,NA,"15","",30292
2022-06-27,164,2031,1,0,5,NA,"15","two stems grazed",30293
2022-06-27,164,2036,2,0,4,NA,"15","",30294
2022-06-27,164,2039,1,2,7,NA,"15","",30295
2022-06-27,164,2045,2,8,10,NA,"15","",30296
2022-06-27,164,2048,NA,NA,NA,NA,"15","eaten? collected",30297
2022-06-27,164,2050,1,3,5,NA,"15","",30298
2022-06-27,164,2054,3,11,4,NA,"15","",30299
2022-06-27,164,2058,1,4,1,NA,"15","",30300
2022-06-27,164,2071,2,8,4,NA,"15","",30301
2022-06-27,164,2081,1,5,3,NA,"15","",30302
2022-06-27,164,2083,3,10,11,NA,"15","",30303
2022-06-27,164,2116,1,3,0,NA,"15","",30304
2022-06-27,166,2120,1,1,0,NA,"15","",30305
2022-06-27,166,2144,1,1,0,NA,"15","",30306
2022-06-27,169,2022,1,0,10,NA,"15","",30307
2022-06-27,169,2034,1,2,7,NA,"15","",30308
2022-06-27,169,2203,7,0,19,NA,"15","[dupe tag changed 2046->2203 jan 2023]",30309
2022-06-27,169,2067,1,0,3,NA,"15","",30310
2022-06-27,169,2078,1,0,9,NA,"15","",30311
2022-06-27,169,2080,1,0,4,NA,"15","one fl gone (empty calyx) not counted",30312
2022-06-27,169,2086,1,8,0,NA,"15","",30313
2022-06-27,169,2124,1,0,6,NA,"15","",30314
2022-06-27,170,2002,3,3,11,NA,"15","",30315
2022-06-27,170,2005,1,0,7,NA,"15","",30316
2022-06-27,170,2008,1,0,5,NA,"15","",30317
2022-06-27,170,2011,1,2,3,NA,"15","",30318
2022-06-27,170,2012,1,0,8,NA,"15","",30319
2022-06-27,170,2013,3,4,9,NA,"15","broke one off",30320
2022-06-27,170,2017,NA,NA,NA,NA,"15","can't find",30321
2022-06-27,170,2032,3,0,15,NA,"16","",30322
2022-06-27,170,2037,1,1,3,TRUE,"16","fix prev",30323
2022-06-27,170,2040,3,0,11,TRUE,"16","prev? [confirmed prev on datasheet 6/29]",30324
2022-06-27,170,2042,1,0,7,NA,"16","",30325
2022-06-27,170,2044,1,0,9,NA,"16","",30326
2022-06-27,170,2052,2,1,4,NA,"16","",30327
2022-06-27,170,2057,1,0,1,NA,"16","",30328
2022-06-27,170,2066,1,1,4,NA,"16","obs. Poll (bb)",30329
2022-06-27,170,2077,1,2,4,NA,"16","",30330
2022-06-27,170,2079,NA,NA,NA,NA,"16","uprooted and collected",30331
2022-06-27,170,2085,2,2,3,NA,"16","",30332
2022-06-27,170,2092,1,1,1,NA,"16","",30333
2022-06-27,170,2096,NA,NA,NA,NA,"16","uprooted and collected",30334
2022-06-27,170,2105,0,0,0,NA,"16","yv",30335
